,Gender,Age Range,Head Size(cm^3),Brain Weight(grams),predictions
0,1,1,4512,1530,1507.0707355438672
1,1,1,3738,1297,1313.6943622005833
2,1,1,4261,1335,1444.3608263589003
3,1,1,3777,1282,1323.4381329504388
4,1,1,4177,1590,1423.374243205366
5,1,1,3585,1300,1275.468800028074
6,1,1,3785,1400,1325.4368551555372
7,1,1,3559,1255,1268.9729528615035
8,1,1,3613,1355,1282.4643277459186
9,1,1,3982,1375,1374.6553894560889
10,1,1,3443,1340,1239.9914808875747
11,1,1,3993,1380,1377.4036324880994
12,1,1,3640,1355,1289.2100151881264
13,1,1,4208,1522,1431.1192917501226
14,1,1,3832,1208,1337.1793481104912
15,1,1,3876,1405,1348.1723202385333
16,1,1,3497,1358,1253.4828557719898
17,1,1,3466,1292,1245.7378072272331
18,1,1,3095,1340,1153.0470649657882
19,1,1,4424,1400,1485.084791287783
20,1,1,3878,1357,1348.672000789808
21,1,1,4046,1287,1390.6451670968772
22,1,1,3804,1275,1330.1838203926463
23,1,1,3710,1270,1306.6988344827384
24,1,1,4747,1635,1565.7832003186368
25,1,1,4423,1505,1484.8349510121457
26,1,1,4036,1490,1388.146764340504
27,1,1,4022,1485,1384.6490004815814
28,1,1,3454,1310,1242.7397239195852
29,1,1,4175,1420,1422.8745626540913
30,1,1,3787,1318,1325.9365357068118
31,1,1,3796,1432,1328.1850981875477
32,1,1,4103,1364,1404.8860628082043
33,1,1,4161,1405,1419.3767987951687
34,1,1,4158,1432,1418.6272779682567
35,1,1,3814,1207,1332.6822231490196
36,1,1,3527,1375,1260.9780640411095
37,1,1,3748,1350,1316.1927649569566
38,1,1,3334,1236,1212.758890843107
39,1,1,3492,1250,1252.2336543938031
40,1,1,3962,1350,1369.6585839433424
41,1,1,3505,1320,1255.4815779770884
42,1,1,4315,1525,1457.8522012433154
43,1,1,3804,1570,1330.1838203926463
44,1,1,3863,1340,1344.924396655248
45,1,1,4034,1422,1387.6470837892293
46,1,1,4308,1506,1456.1033193138542
47,1,1,3165,1215,1170.5358842604005
48,1,1,3641,1311,1289.4598554637637
49,1,1,3644,1300,1290.2093762906757
50,1,1,3891,1224,1351.919924373093
51,1,1,3793,1350,1327.4355773606358
52,1,1,4270,1335,1446.6093888396363
53,1,1,4063,1390,1394.8924517827115
54,1,1,4012,1400,1382.1505977252084
55,1,1,3458,1225,1243.7390850221345
56,1,1,3890,1310,1351.6700840974556
57,1,2,4166,1560,1420.6260001733554
58,1,2,3935,1330,1362.912896501135
59,1,2,3669,1222,1296.4553831816083
60,1,2,3866,1415,1345.67391748216
61,1,2,3393,1175,1227.4994671057088
62,1,2,4442,1330,1489.5819162492548
63,1,2,4253,1485,1442.3621041538017
64,1,2,3727,1470,1310.9461191685727
65,1,2,3329,1135,1211.5096894649205
66,1,2,3415,1310,1232.9959531697298
67,1,2,3372,1154,1222.252821317325
68,1,2,4430,1510,1486.583832941607
69,1,2,4381,1415,1474.3416594353785
70,1,2,4008,1468,1381.151236622659
71,1,2,3858,1390,1343.6751952770614
72,1,2,4121,1380,1409.3831877696762
73,1,2,4057,1432,1393.3934101288878
74,1,2,3824,1240,1335.1806259053928
75,1,2,3394,1195,1227.7493073813462
76,1,2,3558,1225,1268.7231125858661
77,1,2,3362,1188,1219.754418560952
78,1,2,3930,1252,1361.6636951229484
79,1,2,3835,1315,1337.9288689374032
80,1,2,3830,1245,1336.6796675592166
81,1,2,3856,1430,1343.1755147257868
82,1,2,3249,1279,1191.5224674139351
83,1,2,3577,1245,1273.4700778229753
84,1,2,3933,1309,1362.4132159498604
85,1,2,3850,1412,1341.6764730719628
86,1,2,3309,1120,1206.5128839521742
87,1,2,3406,1220,1230.747390688994
88,1,2,3506,1280,1255.7314182527257
89,1,2,3907,1440,1355.91736878329
90,1,2,4160,1370,1419.1269585195314
91,1,2,3318,1192,1208.76144643291
92,1,2,3662,1230,1294.7065012521473
93,1,2,3899,1346,1353.9186465781913
94,1,2,3700,1290,1304.2004317263654
95,1,2,3779,1165,1323.9378135017134
96,1,2,3473,1240,1247.4866891566942
97,1,2,3490,1132,1251.7339738425285
98,1,2,3654,1242,1292.7077790470487
99,1,2,3478,1270,1248.7358905348808
100,1,2,3495,1218,1252.983175220715
101,1,2,3834,1430,1337.6790286617659
102,1,2,3876,1588,1348.1723202385333
103,1,2,3661,1320,1294.45666097651
104,1,2,3618,1290,1283.7135291241052
105,1,2,3648,1260,1291.208737393225
106,1,2,4032,1425,1387.1474032379547
107,1,2,3399,1226,1228.9985087595328
108,1,2,3916,1360,1358.1659312640259
109,1,2,4430,1620,1486.583832941607
110,1,2,3695,1310,1302.9512303481788
111,1,2,3524,1250,1260.2285432141975
112,1,2,3571,1295,1271.9710361691514
113,1,2,3594,1290,1277.7173625088096
114,1,2,3383,1290,1225.0010643493356
115,1,2,3499,1275,1253.9825363232644
116,1,2,3589,1250,1276.4681611306232
117,1,2,3900,1270,1354.1684868538287
118,1,2,4114,1362,1407.634305840215
119,1,2,3937,1300,1363.4125770524097
120,1,2,3399,1173,1228.9985087595328
121,1,2,4200,1256,1429.120569545024
122,1,2,4488,1440,1501.0745689285714
123,1,2,3614,1180,1282.714168021556
124,1,2,4051,1306,1391.8943684750639
125,1,2,3782,1350,1324.6873343286252
126,1,2,3391,1125,1226.9997865544342
127,1,2,3124,1165,1160.2924329592704
128,1,2,4053,1312,1392.3940490263385
129,1,2,3582,1300,1274.719279201162
130,1,2,3666,1270,1295.7058623546964
131,1,2,3532,1335,1262.227265419296
132,1,2,4046,1450,1390.6451670968772
133,1,2,3667,1310,1295.9557026303337
134,2,1,2857,1027,1093.5850793641066
135,2,1,3436,1235,1238.2425989581134
136,2,1,3791,1260,1326.935896809361
137,2,1,3302,1165,1204.764002022713
138,2,1,3104,1080,1155.2956274465241
139,2,1,3171,1127,1172.0349259142245
140,2,1,3572,1270,1272.2208764447887
141,2,1,3530,1252,1261.7275848680215
142,2,1,3175,1200,1173.0342870167738
143,2,1,3438,1290,1238.742279509388
144,2,1,3903,1334,1354.9180076807406
145,2,1,3899,1380,1353.9186465781913
146,2,1,3401,1140,1229.4981893108074
147,2,1,3267,1243,1196.0195923754068
148,2,1,3451,1340,1241.9902030926733
149,2,1,3090,1168,1151.7978635876016
150,2,1,3413,1322,1232.4962726184554
151,2,1,3323,1249,1210.0106478110965
152,2,1,3680,1321,1299.203626213619
153,2,1,3439,1192,1238.9921197850254
154,2,1,3853,1373,1342.4259938988748
155,2,1,3156,1170,1168.2873217796646
156,2,1,3279,1265,1199.0176756830547
157,2,1,3707,1235,1305.9493136558265
158,2,1,4006,1302,1380.6515560713844
159,2,1,3269,1241,1196.5192729266814
160,2,1,3071,1078,1147.0508983504926
161,2,1,3779,1520,1323.9378135017134
162,2,1,3548,1460,1266.224709829493
163,2,1,3292,1075,1202.26559926634
164,2,1,3497,1280,1253.4828557719898
165,2,1,3082,1180,1149.799141382503
166,2,1,3248,1250,1191.2726271382978
167,2,1,3358,1190,1218.7550574584027
168,2,1,3803,1374,1329.933980117009
169,2,1,3566,1306,1270.7218347909647
170,2,1,3145,1202,1165.539078747654
171,2,1,3503,1240,1254.9818974258137
172,2,1,3571,1316,1271.9710361691514
173,2,1,3724,1280,1310.1965983416608
174,2,1,3615,1350,1282.9640082971932
175,2,1,3203,1180,1180.0298147346184
176,2,1,3609,1210,1281.4649666433693
177,2,1,3561,1127,1269.4726334127781
178,2,1,3979,1324,1373.905868629177
179,2,1,3533,1210,1262.4771056949332
180,2,1,3689,1290,1301.4521886943548
181,2,1,3158,1100,1168.7870023309392
182,2,1,4005,1280,1380.4017157957471
183,2,1,3181,1175,1174.5333286705975
184,2,1,3479,1160,1248.9857308105181
185,2,1,3642,1205,1289.709695739401
186,2,1,3632,1163,1287.2112929830278
187,2,2,3069,1022,1146.551217799218
188,2,2,3394,1243,1227.7493073813462
189,2,2,3703,1350,1304.9499525532774
190,2,2,3165,1237,1170.5358842604005
191,2,2,3354,1204,1217.7556963558536
192,2,2,3000,1090,1129.3122387802432
193,2,2,3687,1355,1300.9525081430802
194,2,2,3556,1250,1268.2234320345915
195,2,2,2773,1076,1072.598496210572
196,2,2,3058,1120,1143.8029747672076
197,2,2,3344,1220,1215.2572935994804
198,2,2,3493,1240,1252.4834946694405
199,2,2,3297,1220,1203.5148006445263
200,2,2,3360,1095,1219.2547380096773
201,2,2,3228,1235,1186.2758216255515
202,2,2,3277,1105,1198.51799513178
203,2,2,3851,1405,1341.9263133476002
204,2,2,3067,1150,1146.0515372479433
205,2,2,3692,1305,1302.2017095212668
206,2,2,3402,1220,1229.7480295864448
207,2,2,3995,1296,1377.903313039374
208,2,2,3318,1175,1208.76144643291
209,2,2,2720,955,1059.3569616017942
210,2,2,2937,1070,1113.5723014150922
211,2,2,3580,1320,1274.2195986498873
212,2,2,2939,1060,1114.0719819663668
213,2,2,2989,1130,1126.5639957482326
214,2,2,3586,1250,1275.7186403037113
215,2,2,3156,1225,1168.2873217796646
216,2,2,3246,1180,1190.7729465870232
217,2,2,3170,1178,1171.7850856385871
218,2,2,3268,1142,1196.269432651044
219,2,2,3389,1130,1226.5001060031595
220,2,2,3381,1185,1224.501383798061
221,2,2,2864,1012,1095.3339612935679
222,2,2,3740,1280,1314.194042751858
223,2,2,3479,1103,1248.9857308105181
224,2,2,3647,1408,1290.9588971175876
225,2,2,3716,1300,1308.1978761365624
226,2,2,3284,1246,1200.2668770612413
227,2,2,4204,1380,1430.1199306475733
228,2,2,3735,1350,1312.9448413736714
229,2,2,3218,1060,1183.7774188691783
230,2,2,3685,1350,1300.4528275918055
231,2,2,3704,1220,1305.1997928289147
232,2,2,3214,1110,1182.778057766629
233,2,2,3394,1215,1227.7493073813462
234,2,2,3233,1104,1187.5250230037382
235,2,2,3352,1170,1217.256015804579
236,2,2,3391,1120,1226.9997865544342
